EDT_62.5Hz,EDT_125Hz,EDT_250Hz,EDT_500Hz,EDT_1kHz,EDT_2kHz,EDT_4kHz,EDT_8kHz,C50_62.5Hz,C50_125Hz,C50_250Hz,C50_500Hz,C50_1kHz,C50_2kHz,C50_4kHz,C50_8kHz,C80_62.5Hz,C80_125Hz,C80_250Hz,C80_500Hz,C80_1kHz,C80_2kHz,C80_4kHz,C80_8kHz
1.400459,1.492474,1.578716,1.594651,1.683522,1.718549,1.809217,1.665593,0.729346,0.496422,0.233083,-0.190137,-0.362369,-0.311814,-0.268017,0.18904,3.085226,2.795795,2.524937,2.111511,1.91847,1.946927,1.697039,1.874935
1.389044,1.441151,1.568612,1.611162,1.603869,1.683045,1.730102,1.475567,0.959539,0.701365,0.270904,0.06039,-0.076799,-0.130622,-0.073539,0.184272,3.251531,2.943166,2.384456,2.397951,2.112192,1.914723,1.858935,2.39385
1.508406,1.569077,1.699556,1.727573,1.788448,1.851874,1.848205,1.70286,0.843526,0.738051,0.334384,-0.017283,-0.164286,-0.380957,-0.482805,-0.027451,2.693717,2.601033,2.112616,1.843828,1.664296,1.481703,1.379304,2.013149
1.460286,1.544686,1.644267,1.697086,1.695246,1.75945,1.767193,1.52995,0.566324,0.298563,-0.035336,-0.390786,-0.563587,-0.731333,-0.850471,-0.158027,2.921843,2.591272,2.237159,1.97337,1.746674,1.62446,1.301438,2.134971
1.451856,1.510156,1.623945,1.686743,1.766094,1.794803,1.768303,1.544904,1.164033,0.859563,0.6207,0.213991,0.029781,-0.037529,-0.097391,0.252297,3.289026,2.965767,2.676599,2.315702,2.090448,1.923291,1.800072,2.111845
1.535844,1.616185,1.725002,1.82867,1.974135,1.945834,1.891706,1.733256,0.393264,0.030215,-0.204015,-0.641504,-0.799281,-1.12401,-1.07414,-0.513692,2.624529,2.147475,1.864188,1.512076,1.29767,1.014191,0.766013,1.762897
1.36909,1.467711,1.545046,1.569664,1.57584,1.690668,1.711473,1.565789,0.857433,0.577847,0.326312,0.022735,-0.096355,-0.122964,-0.270735,0.278604,3.383217,3.056703,2.731786,2.508241,2.440373,2.122674,1.823913,2.327023
1.57379,1.67366,1.733846,1.76007,1.914879,1.935483,1.957589,1.637608,0.593102,0.307727,-0.116651,-0.440984,-0.84267,-0.933051,-0.938133,-0.510019,2.676081,2.398629,1.813537,1.70082,1.117114,1.015329,0.899927,1.609367
1.445407,1.548377,1.633768,1.643481,1.71837,1.773976,1.796791,1.541434,1.194899,0.746987,0.374209,0.153992,0.022862,-0.198176,-0.044484,0.590493,3.402935,2.931307,2.498372,2.354506,2.193616,1.871047,1.740269,2.496325
1.54736,1.594083,1.739809,1.818156,1.83503,1.966083,1.8798,1.733603,0.590291,0.33824,-0.211943,-0.371551,-0.536333,-0.765476,-0.716145,-0.51859,2.771797,2.456283,1.899423,1.699392,1.551133,1.193486,1.284828,1.484069
1.490578,1.57014,1.644208,1.708943,1.766917,1.843487,1.84521,1.577033,0.978508,0.667402,0.281859,0.011434,-0.235021,-0.423589,-0.455955,0.334191,2.94664,2.582722,2.218674,1.942728,1.740871,1.486124,1.648581,2.250801
1.450397,1.501022,1.638687,1.619353,1.684217,1.737016,1.753514,1.580807,0.631839,0.286093,0.031122,-0.277143,-0.262657,-0.438588,-0.603559,0.009846,3.15532,2.622312,2.459282,2.132892,2.164084,1.799844,1.486961,2.108854
1.486698,1.57462,1.73587,1.764214,1.844292,1.894246,1.984249,1.827154,0.800297,0.320185,0.118732,-0.245367,-0.461443,-0.751594,-1.008939,-0.308607,2.855227,2.385251,2.10299,1.773269,1.559583,1.249362,0.713043,1.781428
1.377831,1.447618,1.531374,1.572749,1.572647,1.707915,1.765676,1.551428,0.830352,0.622714,0.330188,0.414821,0.113704,0.265347,0.137929,0.592003,3.260268,2.996457,2.688306,2.719456,2.402354,2.298241,2.029573,2.441511
1.543244,1.600307,1.698186,1.853152,1.868083,1.963474,1.968043,1.694983,0.332314,-0.03746,-0.442097,-0.65274,-0.965375,-1.120416,-1.125283,-0.64366,2.727414,2.353601,1.874343,1.664371,1.308378,0.960317,0.852635,1.446527
1.514744,1.581257,1.71729,1.738647,1.84101,1.896591,1.88873,1.745043,0.35025,-0.019304,-0.357512,-0.652423,-0.771563,-1.135129,-1.157221,-0.891878,2.761149,2.387898,1.99428,1.730374,1.631061,1.043693,0.849144,1.165211
1.527931,1.583324,1.728948,1.723883,1.796723,1.912862,1.886674,1.754521,0.560372,0.366909,-0.103244,-0.280552,-0.618934,-0.600244,-0.882357,-0.045983,2.629053,2.458439,1.947,1.895109,1.497619,1.41643,0.941231,1.690345
1.484397,1.588662,1.659656,1.809505,1.797326,1.912446,1.911975,1.759563,0.953382,0.607166,0.12362,-0.231138,-0.292077,-0.537024,-0.912514,-0.760917,3.043594,2.642394,2.114182,1.794792,1.774812,1.370372,1.040422,1.312076
1.397262,1.440841,1.537706,1.603967,1.637,1.698153,1.643419,1.568295,0.956578,0.767266,0.409124,0.265023,0.217222,0.078488,0.005721,0.230251,3.415811,3.128717,2.799317,2.637604,2.595952,2.328225,1.98913,2.425713
1.51725,1.56629,1.656376,1.755444,1.78576,1.917177,1.931891,1.70378,1.026621,0.635461,0.343391,-0.047478,-0.198551,-0.487759,-1.194026,-0.456143,2.943347,2.534109,2.226695,1.856309,1.763391,1.339199,0.820651,1.706728
1.51048,1.565429,1.678146,1.771672,1.826244,1.912737,1.86032,1.677793,1.000163,0.674001,0.361169,0.079437,-0.064298,-0.468671,-0.644931,-0.065535,2.857571,2.544662,2.10847,1.912727,1.751208,1.342352,1.231621,1.837186
1.497689,1.640778,1.6942,1.797239,1.83971,1.888985,1.845995,1.68103,1.168349,0.788226,0.421894,-0.006907,-0.10689,-0.523074,-0.686943,0.114084,3.044682,2.715795,2.418617,1.870222,1.79897,1.35994,1.304976,2.164349
1.5249,1.563362,1.732136,1.758054,1.851214,1.959063,1.908315,1.729525,0.134175,-0.01233,-0.5607,-0.755435,-0.890186,-1.123349,-1.123668,-0.43419,2.677645,2.555443,1.899812,1.628767,1.531579,1.107841,0.915612,1.61908
1.50176,1.571284,1.712874,1.813631,1.870982,1.890159,1.865562,1.641721,0.269778,-0.016999,-0.429782,-0.836135,-0.95383,-1.089499,-0.981769,-0.707881,2.730433,2.384057,1.928812,1.552309,1.391972,1.095357,0.898436,1.6481
1.432852,1.52576,1.594178,1.669354,1.708792,1.786524,1.862079,1.585772,0.459947,0.176647,-0.084336,-0.187175,-0.413608,-0.394704,-0.499202,-0.133651,3.143401,2.736575,2.481224,2.36106,2.205476,1.833296,1.503357,1.845478
1.435984,1.553529,1.603413,1.727343,1.773572,1.833757,1.761362,1.60936,1.041246,0.781623,0.240026,0.101308,-0.104486,-0.115495,-0.44317,0.038888,3.070366,2.782684,2.183882,2.067669,1.864171,1.773705,1.472574,1.941094
1.508472,1.585746,1.758313,1.761947,1.870458,1.926717,1.931251,1.759513,0.312775,0.047448,-0.495888,-0.720587,-0.930033,-1.055631,-1.078539,-0.668225,2.71119,2.394229,1.814844,1.69247,1.519854,1.128631,0.909146,1.261911
1.390451,1.499072,1.566001,1.580759,1.607511,1.707732,1.792928,1.457572,1.003201,0.702241,0.423969,0.418439,0.242005,0.151113,-0.049687,0.81939,3.635491,3.216386,2.981069,2.981436,2.838509,2.416831,2.013809,2.634302
1.619342,1.666149,1.758433,1.757586,1.767405,1.811318,1.804427,1.629458,-6.563417,-6.819988,-6.769905,-6.295901,-6.536849,-5.430256,-3.344471,-3.068195,-1.757036,-1.799465,-1.960731,-1.671455,-1.845469,-1.732648,-0.799691,-0.308371
1.481935,1.553809,1.655659,1.685016,1.721051,1.840027,1.892651,1.598438,0.250203,-0.084141,-0.395332,-0.584576,-0.818265,-0.788577,-1.045548,-0.351532,2.638821,2.27626,1.942397,1.764133,1.535359,1.377636,1.060957,1.676864
1.54609,1.605857,1.622419,1.708206,1.652634,1.742206,1.774904,1.552935,-3.598592,-3.925221,-3.781334,-4.302212,-4.259215,-4.714336,-5.413644,-3.743557,-0.445727,-0.768119,-0.704964,-0.956026,-0.902782,-1.317446,-2.262888,-1.013408
1.541826,1.582416,1.73833,1.805633,1.874846,1.909345,1.944069,1.658935,1.119389,0.693194,0.363988,-0.012459,-0.111828,-0.424203,-1.005068,-0.491799,2.990943,2.519825,2.176503,1.846655,1.733729,1.391263,0.812473,1.750214
1.400452,1.488631,1.55224,1.604592,1.656922,1.703826,1.669497,1.496125,1.281413,1.058504,0.695284,0.645292,0.583923,0.460219,0.409515,1.049273,3.893521,3.708776,3.334924,3.246967,3.234093,2.74037,2.391952,3.189935
1.351055,1.399137,1.474748,1.547257,1.553254,1.637487,1.64537,1.55455,1.004908,0.71233,0.382878,0.100387,0.031369,0.134207,0.322663,0.940315,3.464845,3.117717,2.761247,2.397584,2.479642,2.426867,2.411923,2.888945
1.485037,1.535573,1.601433,1.671436,1.717678,1.704768,1.750356,1.477436,0.396604,0.187025,-0.158243,-0.45759,-0.607247,-0.649285,-0.572484,-0.527431,2.645059,2.457964,2.106553,1.694842,1.622016,1.609949,1.513687,1.859955
1.373639,1.417624,1.52951,1.604982,1.597941,1.68688,1.694359,1.603167,1.004345,0.741533,0.345039,0.373308,0.274548,0.15165,0.073187,0.640057,3.576897,3.238022,2.729272,2.756668,2.794467,2.377691,2.127966,2.504419
1.566908,1.621858,1.704587,1.728494,1.699966,1.84428,1.871362,1.635534,-5.538673,-5.675582,-5.690111,-5.972533,-5.931038,-6.356959,-6.804102,-6.944633,-1.425861,-1.583428,-1.668878,-1.914476,-1.75662,-2.151525,-2.61887,-2.817611
1.43324,1.499674,1.623498,1.698534,1.715564,1.763536,1.8046,1.621461,0.394959,0.185471,-0.16718,-0.559518,-0.692557,-0.750943,-0.652712,0.138577,2.832063,2.525474,2.136986,1.802634,1.662527,1.428797,1.30689,2.025375
1.496234,1.632753,1.690911,1.761661,1.851552,1.939467,1.989618,1.742554,0.228626,-0.065268,-0.441269,-0.634581,-0.891712,-1.096493,-1.567266,-0.552719,2.726831,2.34808,1.976011,1.796086,1.488371,1.024899,0.369526,1.395596
1.316689,1.357064,1.451517,1.486941,1.524041,1.582834,1.717876,1.441593,1.223991,1.07499,0.664765,0.53166,0.478189,0.47665,0.25644,0.936641,3.686243,3.559038,3.106038,2.998842,2.939368,2.814173,2.216671,2.903081
1.521639,1.609824,1.685313,1.841429,1.830643,1.908253,1.98945,1.714541,0.123004,-0.166773,-0.438581,-0.780045,-0.942916,-1.230292,-1.039265,-0.788021,2.788582,2.365257,2.013724,1.654388,1.493933,1.078573,0.739977,1.473116
1.485909,1.526966,1.645683,1.718876,1.748673,1.814813,1.777543,1.569149,1.033315,0.832004,0.329546,0.187865,0.044963,-0.135492,-0.144336,0.587218,3.325901,3.130479,2.579841,2.404927,2.342538,2.011716,1.67059,2.442148
1.393624,1.47985,1.527435,1.568494,1.665069,1.746565,1.675984,1.542509,0.883459,0.542917,0.34414,0.272175,0.145355,-0.029292,-0.117135,0.825042,3.642574,3.261193,2.957949,2.963747,2.806982,2.32513,1.891853,2.962382
1.575997,1.661812,1.653697,1.703667,1.704649,1.80599,1.843262,1.632351,-6.2696,-6.419709,-6.57204,-6.621301,-6.774896,-6.504213,-6.519187,-6.567593,-1.487832,-1.665987,-1.943495,-2.021413,-2.05034,-2.183216,-2.679175,-2.302476
1.451414,1.527004,1.602952,1.672658,1.684461,1.820837,1.791047,1.611178,0.261603,-0.047876,-0.316412,-0.543834,-0.605464,-0.839137,-0.828672,-0.069434,2.816897,2.440875,2.169956,2.00408,1.88247,1.384588,1.258743,1.999801
1.434841,1.487784,1.578932,1.657857,1.660561,1.670937,1.679012,1.487956,1.247552,0.972474,0.661568,0.276438,0.213593,0.197324,0.078193,0.252108,3.642516,3.288062,2.960002,2.464062,2.452357,2.279743,2.066177,2.298985
1.436626,1.512487,1.629974,1.719459,1.773477,1.84393,1.827488,1.635215,0.87152,0.736712,0.293486,-0.070455,-0.227055,-0.277215,-0.660155,-0.039049,2.953986,2.839006,2.301684,1.933046,1.868188,1.5799,1.401001,2.040068
1.449692,1.502594,1.629574,1.758017,1.76155,1.797451,1.842764,1.683087,1.059995,0.925584,0.460002,0.166995,0.053255,-0.186439,-0.324982,0.223514,3.06348,2.945488,2.449726,2.119076,2.071727,1.781092,1.59594,2.247412
1.440396,1.593488,1.58555,1.681595,1.771255,1.788013,1.757198,1.659535,1.005993,0.769896,0.422333,0.178461,-0.088954,-0.122796,-0.549497,0.256928,3.160004,2.944496,2.51149,2.273383,2.003451,1.882189,1.430594,2.182133
1.43465,1.541173,1.662054,1.714637,1.741357,1.817669,1.780477,1.753244,0.946968,0.636818,0.20493,-0.11504,-0.245727,-0.23371,-0.40889,0.596255,3.16314,2.765304,2.251261,2.036328,1.923376,1.701092,1.578643,2.190703
